id,scale,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01
MO_BS_AR,1000000.000000000000000000000000,9871.000000000000,14317.000000000000,11991.000000000000,17486.000000000000,11007.000000000000,15986.000000000000,13497.000000000000,19544.000000000000,12887.000000000000,16186.000000000000,12427.000000000000,17908.000000000000,11444.000000000000,14507.000000000000
MO_BS_INV,1000000.000000000000000000000000,1624.000000000000,1661.000000000000,2133.000000000000,1938.000000000000,2613.000000000000,1594.000000000000,1920.000000000000,2660.000000000000,3141.000000000000,2053.000000000000,2469.000000000000,2902.000000000000,3816.000000000000,2702.000000000000
MO_BS_CA,1000000.000000000000000000000000,84051.000000000000,89574.000000000000,93524.000000000000,101466.000000000000,99450.000000000000,106870.000000000000,109006.000000000000,114246.000000000000,112439.000000000000,116362.000000000000,118398.000000000000,124712.000000000000,121656.000000000000,127812.000000000000
MO_BS_PPE,1000000.000000000000000000000000,8329.000000000000,8698.000000000000,9204.000000000000,9991.000000000000,10774.000000000000,11567.000000000000,11771.000000000000,13011.000000000000,13229.000000000000,13607.000000000000,14375.000000000000,14731.000000000000,15046.000000000000,15789.000000000000
MO_BS_Goodwill,1000000.000000000000000000000000,14466.000000000000,14727.000000000000,14682.000000000000,14655.000000000000,14667.000000000000,14680.000000000000,14751.000000000000,20127.000000000000,20081.000000000000,21855.000000000000,21728.000000000000,16939.000000000000,17142.000000000000,17436.000000000000
MO_BS_Intangibles,1000000.000000000000000000000000,3423.000000000000,3341.000000000000,3240.000000000000,3083.000000000000,2982.000000000000,2945.000000000000,2901.000000000000,6981.000000000000,6693.000000000000,7299.000000000000,6963.000000000000,4835.000000000000,4745.000000000000,4619.000000000000
MO_BS_NCA,1000000.000000000000000000000000,37825.000000000000,39109.000000000000,40581.000000000000,40965.000000000000,42898.000000000000,46673.000000000000,47113.000000000000,58138.000000000000,57217.000000000000,58486.000000000000,58285.000000000000,51511.000000000000,51240.000000000000,52286.000000000000
MO_BS_TA,1000000.000000000000000000000000,121876.000000000000,128683.000000000000,134105.000000000000,142431.000000000000,142348.000000000000,153543.000000000000,156119.000000000000,172384.000000000000,169656.000000000000,174848.000000000000,176683.000000000000,176223.000000000000,172896.000000000000,180098.000000000000
MO_BS_AP,1000000.000000000000000000000000,3631.000000000000,4356.000000000000,4532.000000000000,4828.000000000000,4841.000000000000,5398.000000000000,4583.000000000000,7432.000000000000,6769.000000000000,6932.000000000000,6690.000000000000,6591.000000000000,6630.000000000000,6936.000000000000
MO_BS_CL,1000000.000000000000000000000000,31402.000000000000,31910.000000000000,31929.000000000000,37417.000000000000,34623.000000000000,33742.000000000000,33903.000000000000,45625.000000000000,44694.000000000000,47415.000000000000,40748.000000000000,49858.000000000000,49399.000000000000,42643.000000000000
MO_BS_NCL,1000000.000000000000000000000000,21638.000000000000,24197.000000000000,25488.000000000000,26070.000000000000,26084.000000000000,34701.000000000000,34792.000000000000,36975.000000000000,34792.000000000000,35554.000000000000,45803.000000000000,46282.000000000000,46052.000000000000,60675.000000000000
MO_BS_TL,1000000.000000000000000000000000,53040.000000000000,56107.000000000000,57417.000000000000,63487.000000000000,60707.000000000000,68443.000000000000,68695.000000000000,82600.000000000000,79486.000000000000,82969.000000000000,86551.000000000000,96140.000000000000,95451.000000000000,103318.000000000000
MO_BS_CommonStock,1000000.000000000000000000000000,66084.000000000000,66334.000000000000,66826.000000000000,67306.000000000000,67230.000000000000,67476.000000000000,67803.000000000000,68366.000000000000,68362.000000000000,68765.000000000000,68475.000000000000,68465.000000000000,67811.000000000000,67977.000000000000
MO_BS_SE,1000000.000000000000000000000000,68836.000000000000,72576.000000000000,76688.000000000000,78944.000000000000,81641.000000000000,85100.000000000000,87424.000000000000,89784.000000000000,90170.000000000000,91879.000000000000,90132.000000000000,80083.000000000000,77445.000000000000,76780.000000000000
MO_BS_NCI,1000000.000000000000000000000000,,,,,,,,,,,,,,
MO_BS_TLSE,1000000.000000000000000000000000,121876.000000000000,128683.000000000000,134105.000000000000,142431.000000000000,142348.000000000000,153543.000000000000,156119.000000000000,172384.000000000000,169656.000000000000,174848.000000000000,176683.000000000000,176223.000000000000,172896.000000000000,180098.000000000000
