id,scale,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01
MO_BS_AR,1000000.000000000000000000000000,10084.000000000000,10277.000000000000,9865.000000000000,10465.000000000000,9682.000000000000,9902.000000000000,9122.000000000000,9090.000000000000,8806.000000000000,8632.000000000000,7987.000000000000,8333.000000000000
MO_BS_INV,1000000.000000000000000000000000,2421.000000000000,2389.000000000000,2492.000000000000,2310.000000000000,2456.000000000000,2338.000000000000,2356.000000000000,2103.000000000000,1970.000000000000,1912.000000000000,1613.000000000000,1551.000000000000
MO_BS_CA,1000000.000000000000000000000000,48949.000000000000,47911.000000000000,47533.000000000000,51351.000000000000,47959.000000000000,48182.000000000000,47163.000000000000,49422.000000000000,46316.000000000000,45186.000000000000,42112.000000000000,42504.000000000000
MO_BS_PPE,1000000.000000000000000000000000,13597.000000000000,13356.000000000000,13877.000000000000,13821.000000000000,13683.000000000000,13748.000000000000,11068.000000000000,10771.000000000000,10509.000000000000,10702.000000000000,10661.000000000000,10727.000000000000
MO_BS_Goodwill,1000000.000000000000000000000000,29025.000000000000,28846.000000000000,30882.000000000000,31184.000000000000,31214.000000000000,31568.000000000000,31045.000000000000,30556.000000000000,29871.000000000000,30535.000000000000,30275.000000000000,32021.000000000000
MO_BS_Intangibles,1000000.000000000000000000000000,3601.000000000000,3418.000000000000,4003.000000000000,3871.000000000000,3698.000000000000,3585.000000000000,3373.000000000000,3104.000000000000,2991.000000000000,2938.000000000000,2775.000000000000,3487.000000000000
MO_BS_NCA,1000000.000000000000000000000000,68310.000000000000,67241.000000000000,70313.000000000000,74872.000000000000,74687.000000000000,76132.000000000000,71745.000000000000,68111.000000000000,65721.000000000000,67542.000000000000,66537.000000000000,67991.000000000000
MO_BS_TA,1000000.000000000000000000000000,117258.000000000000,115153.000000000000,117845.000000000000,126223.000000000000,122646.000000000000,124314.000000000000,118911.000000000000,117532.000000000000,112037.000000000000,112729.000000000000,108649.000000000000,110495.000000000000
MO_BS_AP,1000000.000000000000000000000000,7203.000000000000,6821.000000000000,6263.000000000000,7461.000000000000,6865.000000000000,6271.000000000000,5855.000000000000,6864.000000000000,6314.000000000000,5943.000000000000,5166.000000000000,6028.000000000000
MO_BS_CL,1000000.000000000000000000000000,42122.000000000000,41037.000000000000,39222.000000000000,40154.000000000000,41058.000000000000,42433.000000000000,42306.000000000000,39600.000000000000,35640.000000000000,35535.000000000000,33732.000000000000,34269.000000000000
MO_BS_NCL,1000000.000000000000000000000000,55921.000000000000,56232.000000000000,58616.000000000000,63140.000000000000,64847.000000000000,64368.000000000000,62210.000000000000,65917.000000000000,64108.000000000000,63356.000000000000,61466.000000000000,61802.000000000000
MO_BS_TL,1000000.000000000000000000000000,98044.000000000000,97269.000000000000,97837.000000000000,103294.000000000000,105906.000000000000,106801.000000000000,104515.000000000000,105518.000000000000,99747.000000000000,98892.000000000000,95198.000000000000,96071.000000000000
MO_BS_CommonStock,1000000.000000000000000000000000,50522.000000000000,50886.000000000000,51203.000000000000,51594.000000000000,51943.000000000000,52163.000000000000,52446.000000000000,52666.000000000000,52928.000000000000,53059.000000000000,53220.000000000000,53262.000000000000
MO_BS_SE,1000000.000000000000000000000000,19092.000000000000,17756.000000000000,19877.000000000000,22792.000000000000,16607.000000000000,17377.000000000000,14255.000000000000,11868.000000000000,12141.000000000000,13684.000000000000,13294.000000000000,14262.000000000000
MO_BS_NCI,1000000.000000000000000000000000,122.000000000000,127.000000000000,131.000000000000,137.000000000000,133.000000000000,136.000000000000,140.000000000000,146.000000000000,148.000000000000,153.000000000000,157.000000000000,162.000000000000
MO_BS_TLSE,1000000.000000000000000000000000,117258.000000000000,115153.000000000000,117845.000000000000,126223.000000000000,122646.000000000000,124314.000000000000,118911.000000000000,117532.000000000000,112037.000000000000,112729.000000000000,108649.000000000000,110495.000000000000
